71,1
76,1
81,1
86,1
91,1
96,1
101,1
106,1
111,1
73,2
78,2
83,2
88,2
93,2
98,2
103,2
108,2
75,3
80,3
85,3
50,24
55,24
60,24
65,24
70,24
75,24
80,24
85,24
90,24
95,24
52,26
57,26
62,26
67,26
72,26
77,26
82,26
87,26
92,26
97,26
30,18
32,18
34,18
36,18
38,18
30,19
32,19
34,19
36,19
38,19
40,6
42,6
44,6
46,6
48,6
40,8
42,8
44,8
46,8
48,8
6,28
11,28
16,28
21,28
26,28
6,30
11,30
16,30
21,30
26,30
6,32
11,32
16,32
21,32
26,32
6,34
11,34
16,34
21,34
26,34
80,30
85,30
90,30
95,30
100,30
105,30
110,30
115,30
82,32
87,32
92,32
97,32
102,32
107,32
112,32
117,32
84,34
89,34
94,34
99,34
