70,1
75,1
80,1
85,1
90,1
95,1
100,1
105,1
110,1
72,2
77,2
82,2
87,2
92,2
97,2
102,2
107,2
74,3
79,3
84,3
50,25
55,25
60,25
65,25
70,25
75,25
80,25
85,25
90,25
95,25
52,27
57,27
62,27
67,27
72,27
77,27
82,27
87,27
92,27
97,27
5,28
10,28
15,28
20,28
25,28
5,30
10,30
15,30
20,30
25,30
5,32
10,32
15,32
20,32
25,32
5,34
10,34
15,34
20,34
25,34
80,31
85,31
90,31
95,31
100,31
105,31
110,31
115,31
82,33
87,33
92,33
97,33
102,33
107,33
112,33
117,33
84,35
89,35
94,35
99,35
45,20
50,20
55,20
60,20
65,20
47,21
52,21
57,21
62,21
66,21
45,22
50,22
55,22
60,22
65,22
47,23
52,23
57,23
62,23
66,23
